pos	class	id	byte
1005	prompt	7	4431
1006	prompt	54633	4432
1007	prompt	8	4443
1008	prompt	2037	4444
1009	prompt	506	4446
1010	prompt	279	4449
1011	prompt	809	4453
1012	prompt	314	4457
1013	prompt	279	4460
1014	prompt	2306	4464
1015	prompt	1639	4470
1016	prompt	1639	4472
1017	prompt	19860	4474
1018	prompt	3728	4478
1019	prompt	5020	4483
1020	prompt	25	4488
1021	prompt	1946	4489
1022	prompt	3289	4492
1023	prompt	1083	4499
1024	prompt	3019	4504
1025	prompt	3728	4509
1026	prompt	11	4514
1027	prompt	958	4515
1028	prompt	10925	4519
1029	prompt	19860	4525
1030	prompt	3513	4529
1031	prompt	318	4533
1032	prompt	1856	4535
1033	prompt	411	4538
1034	prompt	5224	4543
1035	prompt	553	4548
1036	prompt	9358	4550
1037	prompt	303	4555
1038	prompt	3019	4558
1039	prompt	3728	4563
1040	prompt	11	4568
1041	prompt	958	4569
1042	prompt	411	4573
1043	prompt	5224	4578
1044	prompt	310	4583
1045	prompt	35932	4586
1046	prompt	8242	4594
1047	prompt	466	4607
1048	prompt	4992	4610
1049	prompt	1881	4617
1050	prompt	19222	4625
1051	prompt	54588	4636
1052	prompt	1534	4643
1053	prompt	4694	4649
1054	prompt	678	4654
1055	prompt	3019	4659
1056	prompt	13	4664
1057	prompt	3054	4665
1058	prompt	4045	4668
1059	prompt	958	4672
1060	prompt	411	4676
1061	prompt	5224	4681
1062	prompt	310	4686
1063	prompt	2466	4689
1064	prompt	7018	4693
1065	prompt	3742	4696
1066	prompt	821	4698
1067	prompt	3019	4701
1068	prompt	5354	4706
1069	prompt	30	4712
1070	prompt	15738	4713
1071	prompt	7018	4716
1072	prompt	14562	4719
1073	prompt	353	4725
1074	prompt	10046	4727
1075	prompt	30	4735
1076	prompt	15738	4736
1077	prompt	466	4739
1078	prompt	5752	4742
1079	prompt	5604	4752
1080	prompt	7018	4762
1081	prompt	1719	4765
1082	prompt	3019	4768
1083	prompt	2037	4773
1084	prompt	303	4775
1085	prompt	4602	4778
1086	prompt	1892	4788
1087	prompt	279	4792
1088	prompt	1156	4796
1089	prompt	4021	4801
1090	prompt	1436	4808
1091	prompt	279	4812
1092	prompt	3019	4816
1093	prompt	2980	4821
1094	prompt	488	4827
1095	prompt	1562	4831
1096	prompt	18422	4836
1097	prompt	19860	4841
1098	prompt	3513	4845
1099	prompt	364	4849
